1,bulbasaur,Grass,Poison,45,49,49,65,65,45,,
4,charmander,Fire,,39,52,43,60,50,65,,
7,squirtle,Water,,44,48,65,50,64,43,,
10,caterpie,Bug,,45,30,35,20,20,45,,
13,weedle,Bug,Poison,40,35,30,20,20,50,,
16,pidgey,Normal,Flying,40,45,40,35,35,56,,
19,rattata,Normal,,30,56,35,25,35,72,,
21,spearow,Normal,Flying,40,60,30,31,31,70,,
23,ekans,Poison,,35,60,44,40,54,55,,
25,pikachu,Electric,,35,55,30,50,40,90,,
27,sandshrew,Ground,,50,75,85,20,30,40,,
29,nidoran-f,Poison,,55,47,52,40,40,41,,
32,nidoran-m,Poison,,46,57,40,40,40,50,,
35,clefairy,Normal,,70,45,48,60,65,35,,
37,vulpix,Fire,,38,41,40,50,65,65,,
39,jigglypuff,Normal,,115,45,20,45,25,20,,
41,zubat,Poison,Flying,40,45,35,30,40,55,,
43,oddish,Grass,Poison,45,50,55,75,65,30,,
46,paras,Bug,Grass,35,70,55,45,55,25,,
48,venonat,Bug,Poison,60,55,50,40,55,45,,
50,diglett,Ground,,10,55,25,35,45,95,,
52,meowth,Normal,,40,45,35,40,40,90,,
54,psyduck,Water,,50,52,48,65,50,55,,
56,mankey,Fighting,,40,80,35,35,45,70,,
58,growlithe,Fire,,55,70,45,70,50,60,,
60,poliwag,Water,,40,50,40,40,40,90,,
63,abra,Psychic,,25,20,15,105,55,90,,
66,machop,Fighting,,70,80,50,35,35,35,,
69,bellsprout,Grass,Poison,50,75,35,70,30,40,,
72,tentacool,Water,Poison,40,40,35,50,100,70,,
74,geodude,Rock,Ground,40,80,100,30,30,20,,
77,ponyta,Fire,,50,85,55,65,65,90,,
79,slowpoke,Water,Psychic,90,65,65,40,40,15,,
81,magnemite,Electric,Steel,25,35,70,95,55,45,,
83,farfetchd,Normal,Flying,52,65,55,58,62,60,,
84,doduo,Normal,Flying,35,85,45,35,35,75,,
86,seel,Water,,65,45,55,45,70,45,,
88,grimer,Poison,,80,80,50,40,50,25,,
90,shellder,Water,,30,65,100,45,25,40,,
92,gastly,Ghost,Poison,30,35,30,100,35,80,,
95,onix,Rock,Ground,35,45,160,30,45,70,,
96,drowzee,Psychic,,60,48,45,43,90,42,,
98,krabby,Water,,30,105,90,25,25,50,,
100,voltorb,Electric,,40,30,50,55,55,100,,
102,exeggcute,Grass,Psychic,60,40,80,60,45,40,,
104,cubone,Ground,,50,50,95,40,50,35,,
106,hitmonlee,Fighting,,50,120,53,35,110,87,,
107,hitmonchan,Fighting,,50,105,79,35,110,76,,
108,lickitung,Normal,,90,55,75,60,75,30,,
109,koffing,Poison,,40,65,95,60,45,35,,
111,rhyhorn,Ground,Rock,80,85,95,30,30,25,,
113,chansey,Normal,,250,5,5,35,105,50,,
114,tangela,Grass,,65,55,115,100,40,60,,
115,kangaskhan,Normal,,105,95,80,40,80,90,,
116,horsea,Water,,30,40,70,70,25,60,,
118,goldeen,Water,,45,67,60,35,50,63,,
120,staryu,Water,,30,45,55,70,55,85,,
122,mr-mime,Psychic,,40,45,65,100,120,90,,
123,scyther,Bug,Flying,70,110,80,55,80,105,,
124,jynx,Ice,Psychic,65,50,35,115,95,95,,
125,electabuzz,Electric,,65,83,57,95,85,105,,
126,magmar,Fire,,65,95,57,100,85,93,,
127,pinsir,Bug,,65,125,100,55,70,85,,
128,tauros,Normal,,75,100,95,40,70,110,,
129,magikarp,Water,,20,10,55,15,20,80,,
131,lapras,Water,Ice,130,85,80,85,95,60,,
132,ditto,Normal,,48,48,48,48,48,48,,
133,eevee,Normal,,55,55,50,45,65,55,,
137,porygon,Normal,,65,60,70,85,75,40,,
138,omanyte,Rock,Water,35,40,100,90,55,35,,
140,kabuto,Rock,Water,30,80,90,55,45,55,,
142,aerodactyl,Rock,Flying,80,105,65,60,75,130,,
143,snorlax,Normal,,160,110,65,65,110,30,,
144,articuno,Ice,Flying,90,85,100,95,125,85,,
145,zapdos,Electric,Flying,90,90,85,125,90,100,,
146,moltres,Fire,Flying,90,100,90,125,85,90,,
147,dratini,Dragon,,41,64,45,50,50,50,,
150,mewtwo,Psychic,,106,110,90,154,90,130,,
151,mew,Psychic,,100,100,100,100,100,100,,
